callsign,freq_mhz,city,state,class,erp_kw,lat,lon
WVTM-TV,177,Birmingham,AL,DTV,47.6,33.49056,-86.79667
WVUA,85,Tuscaloosa,AL,DTV,26.0,33.48389,-86.80583
WVUA-CD,527,Tuscaloosa/Northport,AL,DCA,15.0,33.15825,-87.51578
WWBH-LD,557,Mobile,AL,LPD,10.0,30.61261,-87.64489
WYAM-LD,557,Priceville,AL,LPD,12.2,34.56667,-86.91278
WZDX,497,Huntsville,AL,DTV,522.0,34.73689,-86.53303
K07XL-D,177,Mountain Home,AR,LPT,0.114,36.35006,-92.40347
K08RD-D,183,Yancy,AR,LPT,3.0,33.85306,-93.80972
K10SB-D,195,Forrest City,AR,LPT,3.0,35.04917,-90.78444
K11YF-D,201,Gaither,AR,LPT,0.7,36.16917,-93.24972
K11YG-D,201,Russellville,AR,LPT,3.0,35.43819,-93.16125
K12XB-D,207,Eureka Springs,AR,LPD,2.0,36.36056,-93.74861
K15MO-D,479,Little Rock,AR,LPD,5.0,34.7925,-92.47861
K19MC-D,503,Bonnerdale,AR,LPD,0.1,34.3135,-92.99964
K20OC-D,509,El Dorado,AR,LPT,9.2,33.21167,-92.66397
K20OL-D,509,Fort Smith,AR,LPD,15.0,35.44758,-94.36522
K22PF-D,521,Jonesboro,AR,LPT,15.0,35.89083,-90.67389
K23OW-D,527,Hot Springs,AR,LPD,10.0,34.54278,-92.87556
K24NY-D,533,Jonesboro,AR,LPD,15.0,35.88944,-90.93556
K26GS-D,545,Harrison,AR,LPD,11.2,36.11144,-93.03239
K28NT-D,557,Bentonville & Rogers,AR,LPD,10.0,36.36008,-94.34022
K36RJ-D,605,Fort Smith,AR,LPD,15.0,35.35439,-94.43169
KAFT,189,Fayetteville,AR,DTV,37.9,35.81472,-94.02833
KAIT,551,Jonesboro,AR,DTV,1000.0,35.88944,-90.93556
KAJL-LD,485,Fayetteville,AR,LPD,15.0,36.14722,-94.18722
KARK-TV,581,Little Rock,AR,DTV,989.0,34.79917,-92.5
KARZ-TV,557,Little Rock,AR,DTV,340.0,34.79917,-92.49167
KASN,593,Pine Bluff,AR,DTV,1000.0,34.44194,-92.21778
KATV,521,Little Rock,AR,DTV,1000.0,34.79739,-92.48911
KEGW-CD,533,Siloam Springs,AR,DCA,15.0,36.14708,-94.19067
KEMV,213,Mountain View,AR,DTV,12.1,35.81306,-92.29028
KENH-LD,545,Hot Springs,AR,LPD,5.0,34.79806,-92.49278
KETG,213,Arkadelphia,AR,DTV,13.85,33.90722,-93.11306
KETS,177,Little Rock,AR,DTV,26.73,34.44194,-92.21778
KETZ,195,El Dorado,AR,DTV,16.2,33.07822,-92.22525
KFDF-CD,593,Springdale,AR,DCA,15.0,36.18,-94.08528
KFFS-CD,605,Fayetteville,AR,DCA,15.0,36.14722,-94.18722
